fighter,lore,cluster,fighting_style
KRZYSZTOF SOSZYNSKI,"From humble origins, KRZYSZTOF SOSZYNSKI earned every opportunity on their journey to the UFC. KRZYSZTOF SOSZYNSKI brings a high-volume striking attack to every fight, throwing over 11.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
KURT HOLOBAUGH,"Born in the tough streets of their homeland, KURT HOLOBAUGH discovered fighting as an escape from adversity. KURT HOLOBAUGH brings a high-volume striking attack to every fight, throwing over 20.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
KURT PELLEGRINO,"From humble origins, KURT PELLEGRINO earned every opportunity on their journey to the UFC. KURT PELLEGRINO brings a high-volume striking attack to every fight, throwing over 7.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
KYLE BOCHNIAK,"From humble origins, KYLE BOCHNIAK earned every opportunity on their journey to the UFC. KYLE BOCHNIAK brings a high-volume striking attack to every fight, throwing over 7.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
KYLE DAUKAUS,"Hailing from a small town, KYLE DAUKAUS grew up competing in underground circuits before making it to the big stage. KYLE DAUKAUS brings a high-volume striking attack to every fight, throwing over 7.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
KYLE KINGSBURY,"Hailing from a small town, KYLE KINGSBURY grew up competing in underground circuits before making it to the big stage. KYLE KINGSBURY brings a high-volume striking attack to every fight, throwing over 9.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
KYLE NELSON,"Hailing from a small town, KYLE NELSON grew up competing in underground circuits before making it to the big stage. As a versatile fighter, KYLE NELSON maintains constant pressure with over 61.6 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",6,
KYLE NOKE,"Hailing from a small town, KYLE NOKE grew up competing in underground circuits before making it to the big stage. As a versatile fighter, KYLE NOKE maintains constant pressure with over 8.8 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",1,
KYLER PHILLIPS,"With roots in their homeland, KYLER PHILLIPS defied expectations to become a force in the octagon. KYLER PHILLIPS brings a high-volume striking attack to every fight, throwing over 22.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
KYOJI HORIGUCHI,"With roots in their homeland, KYOJI HORIGUCHI defied expectations to become a force in the octagon. KYOJI HORIGUCHI brings a high-volume striking attack to every fight, throwing over 10.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
KYUNG HO KANG,"Born in the tough streets of their homeland, KYUNG HO KANG discovered fighting as an escape from adversity. KYUNG HO KANG brings a high-volume striking attack to every fight, throwing over 9.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
LANDO VANNATA,"Born in the tough streets of their homeland, LANDO VANNATA discovered fighting as an escape from adversity. LANDO VANNATA brings a high-volume striking attack to every fight, throwing over 10.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
LAUREANO STAROPOLI,"Hailing from a small town, LAUREANO STAROPOLI grew up competing in underground circuits before making it to the big stage. LAUREANO STAROPOLI brings a high-volume striking attack to every fight, throwing over 9.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
LAUREN MURPHY,"Born in the tough streets of their homeland, LAUREN MURPHY discovered fighting as an escape from adversity. LAUREN MURPHY brings a high-volume striking attack to every fight, throwing over 12.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
LEANDRO ISSA,"Born in the tough streets of their homeland, LEANDRO ISSA discovered fighting as an escape from adversity. LEANDRO ISSA brings a high-volume striking attack to every fight, throwing over 6.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
LEANDRO SILVA,"With roots in their homeland, LEANDRO SILVA defied expectations to become a force in the octagon. LEANDRO SILVA brings a high-volume striking attack to every fight, throwing over 6.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
LEON EDWARDS,"Hailing from a small town, LEON EDWARDS grew up competing in underground circuits before making it to the big stage. In the octagon, LEON EDWARDS is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 11.2 significant strikes per minute with deadly accuracy.",3,
LEONARD GARCIA,"Hailing from a small town, LEONARD GARCIA grew up competing in underground circuits before making it to the big stage. LEONARD GARCIA brings a high-volume striking attack to every fight, throwing over 7.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
LEONARDO SANTOS,"From humble origins, LEONARDO SANTOS earned every opportunity on their journey to the UFC. LEONARDO SANTOS brings a high-volume striking attack to every fight, throwing over 9.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
LERONE MURPHY,"With roots in their homeland, LERONE MURPHY defied expectations to become a force in the octagon. In the octagon, LERONE MURPHY is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 16.7 significant strikes per minute with deadly accuracy.",1,
LESLIE SMITH,"Born in the tough streets of their homeland, LESLIE SMITH discovered fighting as an escape from adversity. LESLIE SMITH brings a high-volume striking attack to every fight, throwing over 18.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
LI JINGLIANG,"Born in the tough streets of their homeland, LI JINGLIANG discovered fighting as an escape from adversity. LI JINGLIANG brings a high-volume striking attack to every fight, throwing over 11.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
LINA LANSBERG,"Hailing from a small town, LINA LANSBERG grew up competing in underground circuits before making it to the big stage. LINA LANSBERG fights as a versatile fighter with a devastating body attack, systematically breaking down opponents with over 8.1 strikes per minute, targeting the body with surgical precision.",7,
LIVINHA SOUZA,"From humble origins, LIVINHA SOUZA earned every opportunity on their journey to the UFC. LIVINHA SOUZA brings a high-volume striking attack to every fight, throwing over 4.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
LIZ CARMOUCHE,"Born in the tough streets of their homeland, LIZ CARMOUCHE discovered fighting as an escape from adversity. As a versatile fighter, LIZ CARMOUCHE maintains constant pressure with over 6.5 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",3,
LOMA LOOKBOONMEE,"From humble origins, LOMA LOOKBOONMEE earned every opportunity on their journey to the UFC. LOMA LOOKBOONMEE fights as a versatile fighter with a devastating body attack, systematically breaking down opponents with over 13.8 strikes per minute, targeting the body with surgical precision.",7,
LOOPY GODINEZ,"Born in the tough streets of their homeland, LOOPY GODINEZ discovered fighting as an escape from adversity. In the octagon, LOOPY GODINEZ is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 11.5 significant strikes per minute with deadly accuracy.",8,
LORENZ LARKIN,"From humble origins, LORENZ LARKIN earned every opportunity on their journey to the UFC. LORENZ LARKIN brings a high-volume striking attack to every fight, throwing over 9.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
LOUIS SMOLKA,"Born in the tough streets of their homeland, LOUIS SMOLKA discovered fighting as an escape from adversity. LOUIS SMOLKA brings a high-volume striking attack to every fight, throwing over 27.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
LUANA CAROLINA,"With roots in their homeland, LUANA CAROLINA defied expectations to become a force in the octagon. LUANA CAROLINA brings a high-volume striking attack to every fight, throwing over 14.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
LUANA PINHEIRO,"Born in the tough streets of their homeland, LUANA PINHEIRO discovered fighting as an escape from adversity. LUANA PINHEIRO brings a high-volume striking attack to every fight, throwing over 9.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
LUCAS MARTINS,"Hailing from a small town, LUCAS MARTINS grew up competing in underground circuits before making it to the big stage. LUCAS MARTINS brings a high-volume striking attack to every fight, throwing over 34.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
LUCIE PUDILOVA,"Hailing from a small town, LUCIE PUDILOVA grew up competing in underground circuits before making it to the big stage. LUCIE PUDILOVA brings a high-volume striking attack to every fight, throwing over 10.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
LUDOVIT KLEIN,"Born in the tough streets of their homeland, LUDOVIT KLEIN discovered fighting as an escape from adversity. As a versatile fighter, LUDOVIT KLEIN maintains constant pressure with over 11.1 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
LUIGI FIORAVANTI,"With roots in their homeland, LUIGI FIORAVANTI defied expectations to become a force in the octagon. LUIGI FIORAVANTI brings a high-volume striking attack to every fight, throwing over 5.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
LUIS HENRIQUE,"From humble origins, LUIS HENRIQUE earned every opportunity on their journey to the UFC. LUIS HENRIQUE brings a high-volume striking attack to every fight, throwing over 6.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
LUIS PENA,"From humble origins, LUIS PENA earned every opportunity on their journey to the UFC. LUIS PENA brings a high-volume striking attack to every fight, throwing over 16.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
LUIZ CANE,"Born in the tough streets of their homeland, LUIZ CANE discovered fighting as an escape from adversity. LUIZ CANE brings a high-volume striking attack to every fight, throwing over 7.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
LUKASZ BRZESKI,"With roots in their homeland, LUKASZ BRZESKI defied expectations to become a force in the octagon. As a versatile fighter, LUKASZ BRZESKI maintains constant pressure with over 10.4 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
LUKE BARNATT,"From humble origins, LUKE BARNATT earned every opportunity on their journey to the UFC. LUKE BARNATT brings a high-volume striking attack to every fight, throwing over 12.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
LUKE CUMMO,"From humble origins, LUKE CUMMO earned every opportunity on their journey to the UFC. LUKE CUMMO brings a high-volume striking attack to every fight, throwing over 5.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
LUKE ROCKHOLD,"With roots in their homeland, LUKE ROCKHOLD defied expectations to become a force in the octagon. As a versatile fighter, LUKE ROCKHOLD maintains constant pressure with over 12.8 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
LUKE SANDERS,"From humble origins, LUKE SANDERS earned every opportunity on their journey to the UFC. In the octagon, LUKE SANDERS is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 19.3 significant strikes per minute with deadly accuracy.",4,
LYMAN GOOD,"With roots in their homeland, LYMAN GOOD defied expectations to become a force in the octagon. LYMAN GOOD brings a high-volume striking attack to every fight, throwing over 14.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
LYOTO MACHIDA,"From humble origins, LYOTO MACHIDA earned every opportunity on their journey to the UFC. As a versatile fighter, LYOTO MACHIDA maintains constant pressure with over 8.4 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",2,
MAC DANZIG,"From humble origins, MAC DANZIG earned every opportunity on their journey to the UFC. MAC DANZIG brings a high-volume striking attack to every fight, throwing over 8.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
MACKENZIE DERN,"Hailing from a small town, MACKENZIE DERN grew up competing in underground circuits before making it to the big stage. MACKENZIE DERN brings a high-volume striking attack to every fight, throwing over 9.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
MACY CHIASSON,"Hailing from a small town, MACY CHIASSON grew up competing in underground circuits before making it to the big stage. MACY CHIASSON brings a high-volume striking attack to every fight, throwing over 12.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
MAGNUS CEDENBLAD,"Hailing from a small town, MAGNUS CEDENBLAD grew up competing in underground circuits before making it to the big stage. In the octagon, MAGNUS CEDENBLAD is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 9.2 significant strikes per minute with deadly accuracy.",1,
MAGOMED ANKALAEV,"From humble origins, MAGOMED ANKALAEV earned every opportunity on their journey to the UFC. In the octagon, MAGOMED ANKALAEV is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 17.3 significant strikes per minute with deadly accuracy.",1,
MAGOMED MUSTAFAEV,"With roots in their homeland, MAGOMED MUSTAFAEV defied expectations to become a force in the octagon. In the octagon, MAGOMED MUSTAFAEV is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 6.4 significant strikes per minute with deadly accuracy.",1,
MAIRBEK TAISUMOV,"Born in the tough streets of their homeland, MAIRBEK TAISUMOV discovered fighting as an escape from adversity. MAIRBEK TAISUMOV brings a high-volume striking attack to every fight, throwing over 13.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
MAKHMUD MURADOV,"Hailing from a small town, MAKHMUD MURADOV grew up competing in underground circuits before making it to the big stage. MAKHMUD MURADOV brings a high-volume striking attack to every fight, throwing over 15.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
MAKI PITOLO,"Born in the tough streets of their homeland, MAKI PITOLO discovered fighting as an escape from adversity. MAKI PITOLO brings a high-volume striking attack to every fight, throwing over 10.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
MAKWAN AMIRKHANI,"Hailing from a small town, MAKWAN AMIRKHANI grew up competing in underground circuits before making it to the big stage. MAKWAN AMIRKHANI brings a high-volume striking attack to every fight, throwing over 6.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
MALCOLM GORDON,"With roots in their homeland, MALCOLM GORDON defied expectations to become a force in the octagon. MALCOLM GORDON brings a high-volume striking attack to every fight, throwing over 6.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
MANEL KAPE,"From humble origins, MANEL KAPE earned every opportunity on their journey to the UFC. In the octagon, MANEL KAPE is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 11.0 significant strikes per minute with deadly accuracy.",4,
MANNY BERMUDEZ,"With roots in their homeland, MANNY BERMUDEZ defied expectations to become a force in the octagon. In the octagon, MANNY BERMUDEZ is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 5.4 significant strikes per minute with deadly accuracy.",1,
MANON FIOROT,"Hailing from a small town, MANON FIOROT grew up competing in underground circuits before making it to the big stage. MANON FIOROT brings a high-volume striking attack to every fight, throwing over 20.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
MANVEL GAMBURYAN,"Born in the tough streets of their homeland, MANVEL GAMBURYAN discovered fighting as an escape from adversity. MANVEL GAMBURYAN brings a high-volume striking attack to every fight, throwing over 8.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
MARA ROMERO BORELLA,"Born in the tough streets of their homeland, MARA ROMERO BORELLA discovered fighting as an escape from adversity. MARA ROMERO BORELLA brings a high-volume striking attack to every fight, throwing over 6.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",1,
MARC DIAKIESE,"With roots in their homeland, MARC DIAKIESE defied expectations to become a force in the octagon. MARC DIAKIESE brings a high-volume striking attack to every fight, throwing over 9.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
MARC-ANDRE BARRIAULT,"With roots in their homeland, MARC-ANDRE BARRIAULT defied expectations to become a force in the octagon. MARC-ANDRE BARRIAULT brings a high-volume striking attack to every fight, throwing over 14.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
MARCIN PRACHNIO,"From humble origins, MARCIN PRACHNIO earned every opportunity on their journey to the UFC. As a versatile fighter, MARCIN PRACHNIO maintains constant pressure with over 18.2 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
MARCIN TYBURA,"Born in the tough streets of their homeland, MARCIN TYBURA discovered fighting as an escape from adversity. MARCIN TYBURA brings a high-volume striking attack to every fight, throwing over 9.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
MARCO BELTRAN,"From humble origins, MARCO BELTRAN earned every opportunity on their journey to the UFC. MARCO BELTRAN brings a high-volume striking attack to every fight, throwing over 5.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
MARCO POLO REYES,"Born in the tough streets of their homeland, MARCO POLO REYES discovered fighting as an escape from adversity. MARCO POLO REYES brings a high-volume striking attack to every fight, throwing over 16.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
MARCO RUAS,"Born in the tough streets of their homeland, MARCO RUAS discovered fighting as an escape from adversity. MARCO RUAS excels as a versatile fighter with dominant grappling skills, controlling fights on the ground with 74% control time and 83% takedown accuracy, suffocating opponents with pressure and technique.",1,
MARCOS ROGERIO DE LIMA,"Born in the tough streets of their homeland, MARCOS ROGERIO DE LIMA discovered fighting as an escape from adversity. In the octagon, MARCOS ROGERIO DE LIMA is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 9.6 significant strikes per minute with deadly accuracy.",1,
MARCUS AURELIO,"From humble origins, MARCUS AURELIO earned every opportunity on their journey to the UFC. MARCUS AURELIO brings a high-volume striking attack to every fight, throwing over 8.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
MARCUS BRIMAGE,"Born in the tough streets of their homeland, MARCUS BRIMAGE discovered fighting as an escape from adversity. MARCUS BRIMAGE brings a high-volume striking attack to every fight, throwing over 9.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
MARCUS DAVIS,"With roots in their homeland, MARCUS DAVIS defied expectations to become a force in the octagon. MARCUS DAVIS brings a high-volume striking attack to every fight, throwing over 6.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
MARINA RODRIGUEZ,"From humble origins, MARINA RODRIGUEZ earned every opportunity on their journey to the UFC. MARINA RODRIGUEZ brings a high-volume striking attack to every fight, throwing over 17.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
MARIO BAUTISTA,"With roots in their homeland, MARIO BAUTISTA defied expectations to become a force in the octagon. MARIO BAUTISTA brings a high-volume striking attack to every fight, throwing over 12.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
MARION RENEAU,"Born in the tough streets of their homeland, MARION RENEAU discovered fighting as an escape from adversity. MARION RENEAU brings a high-volume striking attack to every fight, throwing over 9.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
MARIYA AGAPOVA,"From humble origins, MARIYA AGAPOVA earned every opportunity on their journey to the UFC. In the octagon, MARIYA AGAPOVA is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 25.3 significant strikes per minute with deadly accuracy.",9,
MARK BOCEK,"Born in the tough streets of their homeland, MARK BOCEK discovered fighting as an escape from adversity. MARK BOCEK brings a high-volume striking attack to every fight, throwing over 5.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
MARK COLEMAN,"With roots in their homeland, MARK COLEMAN defied expectations to become a force in the octagon. In the octagon, MARK COLEMAN is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 8.9 significant strikes per minute with deadly accuracy.",5,
MARK DE LA ROSA,"With roots in their homeland, MARK DE LA ROSA defied expectations to become a force in the octagon. MARK DE LA ROSA brings a high-volume striking attack to every fight, throwing over 8.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
MARK HALL,"With roots in their homeland, MARK HALL defied expectations to become a force in the octagon. MARK HALL brings a versatile fighter approach to the octagon, adapting their game plan based on the opponent and situation.",1,
MARK HOMINICK,"With roots in their homeland, MARK HOMINICK defied expectations to become a force in the octagon. MARK HOMINICK brings a high-volume striking attack to every fight, throwing over 10.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
MARK HUNT,"With roots in their homeland, MARK HUNT defied expectations to become a force in the octagon. MARK HUNT brings a high-volume striking attack to every fight, throwing over 7.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
MARK MADSEN,"With roots in their homeland, MARK MADSEN defied expectations to become a force in the octagon. In the octagon, MARK MADSEN is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 10.6 significant strikes per minute with deadly accuracy.",8,
MARK MUNOZ,"Hailing from a small town, MARK MUNOZ grew up competing in underground circuits before making it to the big stage. MARK MUNOZ brings a high-volume striking attack to every fight, throwing over 6.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
MARKUS PEREZ,"From humble origins, MARKUS PEREZ earned every opportunity on their journey to the UFC. As a versatile fighter, MARKUS PEREZ maintains constant pressure with over 7.3 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
MARLON MORAES,"With roots in their homeland, MARLON MORAES defied expectations to become a force in the octagon. MARLON MORAES brings a high-volume striking attack to every fight, throwing over 8.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
MARLON VERA,"Hailing from a small town, MARLON VERA grew up competing in underground circuits before making it to the big stage. MARLON VERA brings a high-volume striking attack to every fight, throwing over 13.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
MARTIN BUDAY,"Born in the tough streets of their homeland, MARTIN BUDAY discovered fighting as an escape from adversity. In the octagon, MARTIN BUDAY is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 16.1 significant strikes per minute with deadly accuracy.",7,
MARTIN KAMPMANN,"Hailing from a small town, MARTIN KAMPMANN grew up competing in underground circuits before making it to the big stage. MARTIN KAMPMANN brings a high-volume striking attack to every fight, throwing over 8.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
MARVIN EASTMAN,"From humble origins, MARVIN EASTMAN earned every opportunity on their journey to the UFC. MARVIN EASTMAN brings a high-volume striking attack to every fight, throwing over 6.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
MARVIN VETTORI,"With roots in their homeland, MARVIN VETTORI defied expectations to become a force in the octagon. MARVIN VETTORI brings a high-volume striking attack to every fight, throwing over 15.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
MARYNA MOROZ,"Born in the tough streets of their homeland, MARYNA MOROZ discovered fighting as an escape from adversity. MARYNA MOROZ brings a high-volume striking attack to every fight, throwing over 11.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
MATEUSZ GAMROT,"Born in the tough streets of their homeland, MATEUSZ GAMROT discovered fighting as an escape from adversity. In the octagon, MATEUSZ GAMROT is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 10.8 significant strikes per minute with deadly accuracy.",5,
MATEUSZ REBECKI,"Born in the tough streets of their homeland, MATEUSZ REBECKI discovered fighting as an escape from adversity. In the octagon, MATEUSZ REBECKI is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 13.3 significant strikes per minute with deadly accuracy.",8,
MATHEUS NICOLAU,"From humble origins, MATHEUS NICOLAU earned every opportunity on their journey to the UFC. MATHEUS NICOLAU brings a high-volume striking attack to every fight, throwing over 9.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
MATT BROWN,"Hailing from a small town, MATT BROWN grew up competing in underground circuits before making it to the big stage. As a versatile fighter, MATT BROWN maintains constant pressure with over 20.4 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
MATT FREVOLA,"Hailing from a small town, MATT FREVOLA grew up competing in underground circuits before making it to the big stage. MATT FREVOLA brings a high-volume striking attack to every fight, throwing over 6.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
MATT GRICE,"With roots in their homeland, MATT GRICE defied expectations to become a force in the octagon. In the octagon, MATT GRICE is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 7.4 significant strikes per minute with deadly accuracy.",1,
MATT HAMILL,"From humble origins, MATT HAMILL earned every opportunity on their journey to the UFC. MATT HAMILL brings a high-volume striking attack to every fight, throwing over 10.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
MATT HUGHES,"With roots in their homeland, MATT HUGHES defied expectations to become a force in the octagon. In the octagon, MATT HUGHES is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 5.9 significant strikes per minute with deadly accuracy.",5,
MATT LINDLAND,"Hailing from a small town, MATT LINDLAND grew up competing in underground circuits before making it to the big stage. MATT LINDLAND brings a high-volume striking attack to every fight, throwing over 6.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
MATT MITRIONE,"With roots in their homeland, MATT MITRIONE defied expectations to become a force in the octagon. In the octagon, MATT MITRIONE is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 13.4 significant strikes per minute with deadly accuracy.",4,
MATT SCHNELL,"Born in the tough streets of their homeland, MATT SCHNELL discovered fighting as an escape from adversity. MATT SCHNELL brings a high-volume striking attack to every fight, throwing over 16.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
MATT SERRA,"Born in the tough streets of their homeland, MATT SERRA discovered fighting as an escape from adversity. MATT SERRA brings a high-volume striking attack to every fight, throwing over 5.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
MATT WIMAN,"Hailing from a small town, MATT WIMAN grew up competing in underground circuits before making it to the big stage. MATT WIMAN brings a high-volume striking attack to every fight, throwing over 8.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",1,
MATTHEW LOPEZ,"Born in the tough streets of their homeland, MATTHEW LOPEZ discovered fighting as an escape from adversity. In the octagon, MATTHEW LOPEZ is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 10.4 significant strikes per minute with deadly accuracy.",8,
MATTHEW RIDDLE,"With roots in their homeland, MATTHEW RIDDLE defied expectations to become a force in the octagon. MATTHEW RIDDLE brings a high-volume striking attack to every fight, throwing over 11.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
MATTHEW SEMELSBERGER,"Hailing from a small town, MATTHEW SEMELSBERGER grew up competing in underground circuits before making it to the big stage. MATTHEW SEMELSBERGER brings a high-volume striking attack to every fight, throwing over 12.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
MAURICE GREENE,"Hailing from a small town, MAURICE GREENE grew up competing in underground circuits before making it to the big stage. MAURICE GREENE brings a high-volume striking attack to every fight, throwing over 8.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
MAURICE SMITH,"With roots in their homeland, MAURICE SMITH defied expectations to become a force in the octagon. As a versatile fighter, MAURICE SMITH maintains constant pressure with over 5.2 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",1,
MAURICIO RUA,"From humble origins, MAURICIO RUA earned every opportunity on their journey to the UFC. MAURICIO RUA brings a high-volume striking attack to every fight, throwing over 14.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
MAX GRIFFIN,"Born in the tough streets of their homeland, MAX GRIFFIN discovered fighting as an escape from adversity. MAX GRIFFIN brings a high-volume striking attack to every fight, throwing over 12.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
MAX HOLLOWAY,"Born in the tough streets of their homeland, MAX HOLLOWAY discovered fighting as an escape from adversity. MAX HOLLOWAY brings a high-volume striking attack to every fight, throwing over 31.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
MAXIM GRISHIN,"From humble origins, MAXIM GRISHIN earned every opportunity on their journey to the UFC. As a versatile fighter, MAXIM GRISHIN maintains constant pressure with over 9.1 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
